district,school_name,poa_school_net,school_website,school_type_1,school_type_2,student_gender,religion,school_size,medium_of_instruction,through_train_sec_school,feeder_sec_school,nominated_sec_school,school_bus,nanny_van,fac_no_of_classroom,fac_no_of_school_hall,fac_no_of_playground,fac_no_of_library,fac_special_rooms,fac_support_for_specialedu,previous_year_tsi_no_of_approved_teaching_posts,previous_year_tsi_total_no_of_teachers,previous_year_tsi_percent_of_received_teacher_training,previous_year_tsi_percent_of_bacherlor,previous_year_tsi_percent_of_master_doctorate_or_above,previous_year_tsi_percent_of_special_edu_training,previous_year_tsi_percent_of_exp_0_4,previous_year_tsi_percent_of_exp_5_9,previous_year_tsi_percent_of_exp_10_or_above,previous_year_no_of_class_p1,previous_year_no_of_class_p2,previous_year_no_of_class_p3,previous_year_no_of_class_p4,previous_year_no_of_class_p5,previous_year_no_of_class_p6,previous_year_no_of_class_total,current_year_no_of_class_p1,current_year_no_of_class_p2,current_year_no_of_class_p3,current_year_no_of_class_p4,current_year_no_of_class_p5,current_year_no_of_class_p6,current_year_no_of_class_total,no_of_test_per_year_P1,no_of_exam_per_year_P1,replace_test_exam_P1,no_of_test_per_year_P2-P6,no_of_exam_P2-P6,upload_school_assessment_policy_to_school_web,upload_school_assignment_policy_to_school_web,school_starts_at,school_starts_at_AMPM,school_ends_at,school_ends_at_AMPM,school_major_concerns
Central & Western,S.K.H. St. Matthew's Primary School,11,http://www.stmatthew.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,375,Chinese,-,-,-,-,-,13,1,1,0,"STEAM Laboratory, English Room, Library Corner, Science Laboratory, Immersive Virtual Reality (VR) Application System.",,21,24,100,100,38,74,30,13,57,1,1,1,2,2,2,9,2,1,1,1,2,2,9,0,2,Yes,0,3,No,No,8:15,AM,3:30,PM,"1. Continuously develop suitable teaching and learning strategies, organize cross-disciplinary and cross-domain school-based curricula to enhance learning motivation and interest, and cultivate students with the ability to flexibly apply various learning strategies and metacognitive skills.<br>2. Continuously nurture students' national identity, establish positive thinking, integrity in words and actions, willingness to serve, and a sense of responsibility towards the country and society through values education."
Southern,St. Paul's College Primary School,/,http://www.spc-ps.edu.hk,DSS,Whole Day,Boys,Protestantism / Christianity,5380,Chinese(incl.: Putonghua) and English,-,St. Paul's College,-,Yes,-,24,1,3,1,"19 Rooms (General Studies Room, Music Rooms, Visual Arts Rooms, English Language Room, Chinese Culture Room, Computer Rooms, Small-class Teaching Rooms, Counselling Room, Chapel, etc.)","Ramp, Accessible lift, Accessible toilet, Braille and tactile floor plan and Tactile guide path plan.",-,57,97,100,56,56,24,14,62,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,3,Yes,Yes,8:05,AM,3:20,PM,- Nurturing our Paulines to become a steward of God's wisdom.<br>- Unleashing our Paulines' potential as active learners.
Central & Western,Catholic Mission School,11,http://www.cms.edu.hk,Aided,Whole Day,Co-ed,Catholicism,6000,English,-,-,-,-,Yes,24,1,1,1,"6 (Chinese Room, English Room, Music Room, Guidance Room, Angel Library, Makerspace).",A lift.,40,47,100,100,43,25,40,26,34,4,3,3,3,4,4,21,4,4,3,3,3,4,21,0,0,Yes,4,0,Yes,Yes,8:20,AM,3:20,PM,Integrate multi-cultures; broaden the global vision and establish an international campus; nurture the global talents.
Central & Western,King's College Old Boys' Association Primary School No. 2,11,http://www.kcobaps2.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,4948,Chinese,-,-,-,-,Yes,18,1,1,1,"Library, Visual Art Room, Music Room, Computer Room, STEM Lab, English Activity Room, Science Room , Counselling Room and Conference Room.",-,36,39,100,100,37,80,18,16,66,3,3,3,3,3,3,18,3,3,3,3,3,3,18,2,2,Yes,2,2,Yes,Yes,8:25,AM,3:25,PM,1. Reinforce values education to enhance whole-person development of students.<br>2. Promote positive education to enable students to live their lives to the fullest.<br>3. Deepen self-directed learning for the implementation of gifted education.
Central & Western,San Wui Commercial Society School,11,http://www.swcss.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,700,Chinese,S.W.C.S. Chan Pak Sha School,-,-,Yes,-,12,1,1,1,"Computer room, Music room, Medical room, Guest room.",-,23,30,100,100,28,47,22,34,44,1,1,1,2,2,2,9,1,1,1,1,2,2,8,0,2,Yes,0,3,No,Yes,8:10,AM,3:45,PM,"To foster and develop pupils' positive attitude, to build up their self-achievement and confidence."
Central & Western,Central & Western District St. Anthony's School,11,http://www.cwsa.edu.hk,Aided,Whole Day,Co-ed,Catholicism,4000,Chinese,-,-,-,Yes,Yes,18,1,1,1,"6 Special Rooms (STEM Lab., Visual Art Room, Music Room, Activity Room, Religious Room and English Room). ",Ramp.,37,37,100,100,38,75,11,19,70,3,3,3,3,3,3,18,3,3,3,3,3,3,18,0,2,Yes,0,3,Yes,Yes,8:15,AM,3:30,PM,"1. Promote teachers' professional development to build a progressive and adaptive teaching team capable of meeting new challenges.<br>2. Foster students' curiosity and learning abilities, empowering them to become knowledge explorers of the new generation.<br>3. Strengthen home-school collaboration to cultivate healthy lifestyles among students and jointly build a wellness-focused school environment."
Central & Western,Li Sing Primary School,11,http://www.lsps.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,2170,Chinese,-,-,"King's College, Belilios Public School, Clementi Secondary School, <br>Tang Shiu Kin Victoria Secondary School",-,Yes,12,1,1,1,"Computer room/Stream Room, library, art room, music room, activity room, English room, counselling room, small class teaching rooms, conference room.",Accessible lift and Accessible toilet.,23,24,100,100,44,74,13,13,74,1,2,2,2,2,2,11,2,1,2,2,2,2,11,0,0,Yes,1,2,Yes,Yes,8:00,AM,3:00,PM,"1. Foster students' positive values and construct physically and mentally healthy lifestyles.<br>2. Continuously optimize the curriculum, employ diversified strategies to enhance students' learning motivation, and promote lifelong learning capabilities."
Central & Western,Sacred Heart Canossian School,11,http://www.shcs.edu.hk,Aided,Whole Day,Girls,Catholicism,1900,Chinese(incl.: Putonghua) and English,-,Sacred Heart Canossian College,-,Yes,-,30,1,2,1,"10 (Visual Arts Room, 2 Music Rooms, Computer Room, Innolab, Student Guidance Room, English Resource Room, Student Sick Room, <br>2 Parlours)",,57,60,100,100,52,83,23,15,62,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,Yes,Yes,8:35,AM,3:30,PM,"1. To promote ""Whole School Health Programme"".<br>2. To construct highly effective lessons."
Central & Western,"Sacred Heart Canossian School, Private Section",/,http://www.shcsps.edu.hk,Private,AM,Girls,Catholicism,6500,Chinese,-,Sacred Heart Canossian College,-,Yes,Yes,19,1,1,1,"9 Rooms (Computer Room, Visual Arts Room, STEM Room, Multi-purpose Room, Activity Room, English Resources Room, Guidance Counselling Room, Student Sick Room and Parlour.)",Accessible lift and Accessible toilet.,-,29,90,100,24,14,38,10,52,4,3,2,3,3,3,18,4,3,3,2,3,3,18,2,2,No,2,2,No,No,7:40,AM,12:45,PM,"1. Actively develop team spirit and promote the inheritance culture in the school.<br>2. Cultivate students to learn independently, think critically and solve problems.<br>3. Provide students with opportunities for self-practice and encourage the courage to try.<br>4. Students know how to be grateful and cherish what they have; they are willing to live frugally, love life, and respond with loyalty.<br>5. Nurture positive values and attitude."
Central & Western,St. Stephen's Girls' Primary School,11,http://www.ssgps.edu.hk,Aided,Whole Day,Girls,Protestantism / Christianity,1196,Chinese,-,St. Stephen's Girls' College,-,Yes,Yes,24,1,3,1,"STEM Room, Student Activity Centre, Visual Arts Room, English Room, Putonghua Room, Music Room, Multi-purpose Room, Computer Room, etc.",Accessible lift and Accessible toilet.,44,47,100,100,70,57,4,23,73,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,0,Yes,2,2,Yes,Yes,8:00,AM,3:00,PM,"A. To enhance pupils' understanding of our country and strengthen their sense of national identity.<br>B. To foster pupils' physical, mental and spiritual well-being by reinforcing Values Education."
