district,school_name,poa_school_net,master_education_likelihood,bachelor_education_likelihood,teacher_ratio,Reference,,school_website,school_type_1,school_type_2,student_gender,religion,school_size,medium_of_instruction,through_train_sec_school,feeder_sec_school,nominated_sec_school,school_bus,nanny_van,fac_no_of_classroom,fac_no_of_school_hall,fac_no_of_playground,fac_no_of_library,fac_special_rooms,fac_support_for_specialedu,previous_year_tsi_no_of_approved_teaching_posts,previous_year_tsi_total_no_of_teachers,previous_year_tsi_percent_of_received_teacher_training,previous_year_tsi_percent_of_bacherlor,previous_year_tsi_percent_of_master_doctorate_or_above,previous_year_tsi_percent_of_special_edu_training,previous_year_tsi_percent_of_exp_0_4,previous_year_tsi_percent_of_exp_5_9,previous_year_tsi_percent_of_exp_10_or_above,previous_year_no_of_class_p1,previous_year_no_of_class_p2,previous_year_no_of_class_p3,previous_year_no_of_class_p4,previous_year_no_of_class_p5,previous_year_no_of_class_p6,previous_year_no_of_class_total,current_year_no_of_class_p1,current_year_no_of_class_p2,current_year_no_of_class_p3,current_year_no_of_class_p4,current_year_no_of_class_p5,current_year_no_of_class_p6,current_year_no_of_class_total,no_of_test_per_year_P1,no_of_exam_per_year_P1,replace_test_exam_P1,no_of_test_per_year_P2-P6,no_of_exam_P2-P6,upload_school_assessment_policy_to_school_web,upload_school_assignment_policy_to_school_web,school_starts_at,school_starts_at_AMPM,school_ends_at,school_ends_at_AMPM,school_major_concerns
Southern,S.K.H. Chi Fu Chi Nam Primary School,18,0.78,2.61,2.61,16.17,,http://www.skhcfcn.edu.hk/,Aided,Whole Day,Co-ed,Protestantism / Christianity,2835,Chinese,-,-,-,Yes,Yes,24,1,3,1,"STEM Lab, English Activity Room, IT Room, Medical Room, Music Room, Art Room, Remedial-teaching Classroom, Campus TV, Counselling Room , Green Garden and Conference Room. ","Ramp, Accessible lift and Accessible toilet.",32,38,96,100,30,71,72,8,20,1,2,2,4,3,3,15,2,1,2,2,4,3,14,0,0,Yes,0,3,Yes,Yes,8:00,AM,3:15,PM,"1. Cultivate student reading habit by enriching the reading environment. Equip them with the self-directed learning. To enhance one's reading capacity learning to life-long learning and empower own's national identity.<br>2. Nurture students' positive values and attitudes. Be capable of enhancing self-management skill, leading a healthy and self-confident life."
Central & Western,St. Anthony's School,11,1.1,2.33,2.33,16.05,Y,http://www.stanthonys.edu.hk,Aided,Whole Day,Co-ed,Catholicism,4500,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,18,1,2,1,"8 rooms (2 staff rooms, INNOSPACE, music room, counselling room, speech therapy room, MAKER SPACE, meeting room)",-,38,42,100,100,47,65,22,24,54,3,3,3,3,3,3,18,3,3,3,3,3,3,18,0,3,Yes,0,3,Yes,Yes,7:45,AM,3:00,PM,"1. Enrich students' diverse learning experiences and broaden their horizons.<br>2. Practice the 'Life' core value in Catholic Education, and live a healthy and positive life in terms of physical, mental, and spiritual health."
Central & Western,Bonham Road Government Primary School,11,1.17,2.25,2.25,15.93,Y,http://www.brgps.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,3765,Chinese,-,-,"King's College, Belilios College, Clementi College, <br>Tang Shiu Kin Victoria Government Secondary School",-,-,12,1,2,1,"Music, Visual Art, Computer, English, Counselling, Conference, Multi-purpose & PTA rooms.",,25,27,100,100,52,67,11,19,70,2,2,2,2,2,2,12,2,2,2,2,2,2,12,1,1,Yes,2,2,No,No,8:00,AM,3:00,PM,To encourage students to sustain the development of desirable self-regulated learning habits & strategies in order to enhance learning & teaching effectiveness.<br>To nurture students' accurate values and patriotism through the cultivation of positive thinking in school.
Central & Western,"Chiu Sheung School, Hong Kong",11,0.52,2.76,2.76,15.88,,http://www.csshk.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,6000,Chinese & English,-,-,-,Yes,Yes,26,1,1,1,"Music Rooms, Activity Room, Visual Arts Room, Counselling Room, Conference Room, Group Learning Rooms, Speech Therapy Room, STEM Room.",Accessible public information / service counter.,43,58,100,100,19,60,40,27,33,3,3,4,4,4,4,22,3,3,3,4,4,4,21,0,1,Yes,0,2,Yes,No,8:00,AM,3:20,PM,"Healthiness, Confidence, Care and Inclusiveness."
Wan Chai,St. Francis' Canossian School,12,0.91,2.33,2.33,15.29,,http://www.sfcs.edu.hk,Aided,Whole Day,Girls,Catholicism,4000,Chinese,-,St. Francis' Canossian College,-,Yes,-,24,1,2,1,"Chapel, Gymnasium, Music Room, Computer Education Room, Remedial Teaching Room, Student Activity Room, English Language Room, Language Room, Visual Art Room, General Studies Room, General Purpose Room etc.",Accessible toilet.,49,56,100,100,39,69,21,13,66,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,3,Yes,Yes,7:55,AM,3:30,PM,"""Values Education"" and ""Enriching Students' Learning Experiences,"" allowing students to develop holistically across six areas, practicing whole-person education. Emphasis is placed on values education to cultivate students’ character based on the Canossian values of ""Respect,"" ""Gratitude,"" and ""Responsibility,"" enabling them to become good citizens. Effective use of learning time creates space to enrich students' diverse learning experiences and integrates health elements to promote students' physical, mental, and social well-being."
Central & Western,St. Stephen's Girls' Primary School,11,1.37,1.96,1.96,15.28,Y,http://www.ssgps.edu.hk,Aided,Whole Day,Girls,Protestantism / Christianity,1196,Chinese,-,St. Stephen's Girls' College,-,Yes,Yes,24,1,3,1,"STEM Room, Student Activity Centre, Visual Arts Room, English Room, Putonghua Room, Music Room, Multi-purpose Room, Computer Room, etc.",Accessible lift and Accessible toilet.,44,47,100,100,70,57,4,23,73,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,0,Yes,2,2,Yes,Yes,8:00,AM,3:00,PM,"A. To enhance pupils' understanding of our country and strengthen their sense of national identity.<br>B. To foster pupils' physical, mental and spiritual well-being by reinforcing Values Education."
Central & Western,Catholic Mission School,11,0.96,2.24,2.24,15.04,Y,http://www.cms.edu.hk,Aided,Whole Day,Co-ed,Catholicism,6000,English,-,-,-,-,Yes,24,1,1,1,"6 (Chinese Room, English Room, Music Room, Guidance Room, Angel Library, Makerspace).",A lift.,40,47,100,100,43,25,40,26,34,4,3,3,3,4,4,21,4,4,3,3,3,4,21,0,0,Yes,4,0,Yes,Yes,8:20,AM,3:20,PM,Integrate multi-cultures; broaden the global vision and establish an international campus; nurture the global talents.
Wan Chai,Marymount Primary School,12,1.08,2.12,2.12,14.92,Y,http://www.mps.edu.hk,Aided,Whole Day,Girls,Catholicism,11204,English,-,Marymount Secondary School,-,-,Yes,24,1,2,1,"Chapel, Small Group Teaching Room, General Studies Room, Music Room, Visual Arts Room, Computer Room, Language and Music Activity Room, Student Activity Centre",Accessible lift and Accessible toilet.,47,51,100,100,51,80,17,18,65,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,0,Yes,0,3,No,No,8:00,AM,3:00,PM,"1. To promote the Mental, Physical and Spiritual/Social Well-being for nurturing our students to become HAPPY. (PERMA)<br>    H - Harmonious Relationship (PERMA – Relationship)<br>    A - Accomplishment (PERMA – Accomplishment)<br>    P - Purpose in Life (PERMA – Meaning)<br>    P - Participation (PERMA – Engagement) <br>    Y - “Yes I can!” Emotions (PERMA – Positive Emotion)<br>2. To enhance effective diverse learning processes for cultivating our students to become Multi-perspective MPS Thinkers and Respectful MPS Collaborators."
Central & Western,Li Sing Primary School,11,0.96,2.18,2.18,14.74,,http://www.lsps.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,2170,Chinese,-,-,"King's College, Belilios Public School, Clementi Secondary School, <br>Tang Shiu Kin Victoria Secondary School",-,Yes,12,1,1,1,"Computer room/Stream Room, library, art room, music room, activity room, English room, counselling room, small class teaching rooms, conference room.",Accessible lift and Accessible toilet.,23,24,100,100,44,74,13,13,74,1,2,2,2,2,2,11,2,1,2,2,2,2,11,0,0,Yes,1,2,Yes,Yes,8:00,AM,3:00,PM,"1. Foster students' positive values and construct physically and mentally healthy lifestyles.<br>2. Continuously optimize the curriculum, employ diversified strategies to enhance students' learning motivation, and promote lifelong learning capabilities."
Wan Chai,Precious Blood Primary School,12,1.18,2,2,14.72,,http://www.preciousbloodhv.edu.hk,Aided,Whole Day,Co-ed,Catholicism,1220,Chinese,-,-,-,Yes,Yes,18,0,1,1,"Computer room, English room, Innovative Centre, Music room, Multi-purpose room and Library for teaching and learning. Rooms for non-academic purposes: Conference room, Student Counselling room, Sick room and Campus TV.   ",Ramp.,32,32,100,100,59,81,15,19,66,3,2,2,3,3,3,16,3,3,2,2,3,3,16,0,2,Yes,0,3,Yes,Yes,7:45,AM,3:05,PM,"“Multi-dimensional development, inspiring potentials; positive education, walking together in beauty and goodness."" Teachers utilize a school-based multi-dimensional management model to cater for learners' diversities, develop their multiple potentials, and cultivate positive values and attitudes, enabling students to follow the spirit of loving God and loving others as Jesus Christ did, achieving holistic development and moving towards a positive life journey."
