district,school_name,poa_school_net,master_education_likelihood,bachelor_education_likelihood,teacher_ratio,Reference,,school_website,school_type_1,school_type_2,student_gender,religion,school_size,medium_of_instruction,through_train_sec_school,feeder_sec_school,nominated_sec_school,school_bus,nanny_van,fac_no_of_classroom,fac_no_of_school_hall,fac_no_of_playground,fac_no_of_library,fac_special_rooms,fac_support_for_specialedu,previous_year_tsi_no_of_approved_teaching_posts,previous_year_tsi_total_no_of_teachers,previous_year_tsi_percent_of_received_teacher_training,previous_year_tsi_percent_of_bacherlor,previous_year_tsi_percent_of_master_doctorate_or_above,previous_year_tsi_percent_of_special_edu_training,previous_year_tsi_percent_of_exp_0_4,previous_year_tsi_percent_of_exp_5_9,previous_year_tsi_percent_of_exp_10_or_above,previous_year_no_of_class_p1,previous_year_no_of_class_p2,previous_year_no_of_class_p3,previous_year_no_of_class_p4,previous_year_no_of_class_p5,previous_year_no_of_class_p6,previous_year_no_of_class_total,current_year_no_of_class_p1,current_year_no_of_class_p2,current_year_no_of_class_p3,current_year_no_of_class_p4,current_year_no_of_class_p5,current_year_no_of_class_p6,current_year_no_of_class_total,no_of_test_per_year_P1,no_of_exam_per_year_P1,replace_test_exam_P1,no_of_test_per_year_P2-P6,no_of_exam_P2-P6,upload_school_assessment_policy_to_school_web,upload_school_assignment_policy_to_school_web,school_starts_at,school_starts_at_AMPM,school_ends_at,school_ends_at_AMPM,school_major_concerns
Central & Western,St. Anthony's School,11,1.1,2.33,2.33,16.05,Y,http://www.stanthonys.edu.hk,Aided,Whole Day,Co-ed,Catholicism,4500,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,18,1,2,1,"8 rooms (2 staff rooms, INNOSPACE, music room, counselling room, speech therapy room, MAKER SPACE, meeting room)",-,38,42,100,100,47,65,22,24,54,3,3,3,3,3,3,18,3,3,3,3,3,3,18,0,3,Yes,0,3,Yes,Yes,7:45,AM,3:00,PM,"1. Enrich students' diverse learning experiences and broaden their horizons.<br>2. Practice the 'Life' core value in Catholic Education, and live a healthy and positive life in terms of physical, mental, and spiritual health."
Central & Western,St. Stephen's Girls' Primary School,11,1.37,1.96,1.96,15.28,Y,http://www.ssgps.edu.hk,Aided,Whole Day,Girls,Protestantism / Christianity,1196,Chinese,-,St. Stephen's Girls' College,-,Yes,Yes,24,1,3,1,"STEM Room, Student Activity Centre, Visual Arts Room, English Room, Putonghua Room, Music Room, Multi-purpose Room, Computer Room, etc.",Accessible lift and Accessible toilet.,44,47,100,100,70,57,4,23,73,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,0,Yes,2,2,Yes,Yes,8:00,AM,3:00,PM,"A. To enhance pupils' understanding of our country and strengthen their sense of national identity.<br>B. To foster pupils' physical, mental and spiritual well-being by reinforcing Values Education."
Wan Chai,Marymount Primary School,12,1.08,2.12,2.12,14.92,Y,http://www.mps.edu.hk,Aided,Whole Day,Girls,Catholicism,11204,English,-,Marymount Secondary School,-,-,Yes,24,1,2,1,"Chapel, Small Group Teaching Room, General Studies Room, Music Room, Visual Arts Room, Computer Room, Language and Music Activity Room, Student Activity Centre",Accessible lift and Accessible toilet.,47,51,100,100,51,80,17,18,65,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,0,Yes,0,3,No,No,8:00,AM,3:00,PM,"1. To promote the Mental, Physical and Spiritual/Social Well-being for nurturing our students to become HAPPY. (PERMA)<br>    H - Harmonious Relationship (PERMA – Relationship)<br>    A - Accomplishment (PERMA – Accomplishment)<br>    P - Purpose in Life (PERMA – Meaning)<br>    P - Participation (PERMA – Engagement) <br>    Y - “Yes I can!” Emotions (PERMA – Positive Emotion)<br>2. To enhance effective diverse learning processes for cultivating our students to become Multi-perspective MPS Thinkers and Respectful MPS Collaborators."
Central & Western,Sacred Heart Canossian School,11,1.04,2,2,14.16,Y,http://www.shcs.edu.hk,Aided,Whole Day,Girls,Catholicism,1900,Chinese(incl.: Putonghua) and English,-,Sacred Heart Canossian College,-,Yes,-,30,1,2,1,"10 (Visual Arts Room, 2 Music Rooms, Computer Room, Innolab, Student Guidance Room, English Resource Room, Student Sick Room, <br>2 Parlours)",,57,60,100,100,52,83,23,15,62,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,Yes,Yes,8:35,AM,3:30,PM,"1. To promote ""Whole School Health Programme"".<br>2. To construct highly effective lessons."
Central & Western,S.K.H. St. Peter's Primary School,11,0.81,1.81,1.81,12.29,Y,http://www.spps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,7960,Chinese,-,-,-,Yes,-,36,2,4,2,"Music Room, Computer Room, Visual Arts Room, STEAM Room, English Room, Student Activity Room, Campus TV.",,67,74,88,100,45,59,24,16,60,6,6,6,6,6,6,36,6,6,6,6,6,6,36,1,1,Yes,2,2,Yes,Yes,7:55,AM,3:05,PM,"1. Fostering students' growth mindset and positive values to live a healthy and confident life. <br>2. Enhancing students' high order thinking and communication skills, integrating STEAM education and history-cultural education, and applying what they have learnt in practice."
Wan Chai,St. Paul's Primary Catholic School,12,0.54,1.88,2,11.8,Y,http://www.sppcs.edu.hk,Aided,Whole Day,Girls,Catholicism,22176,Chinese,-,St. Paul's Secondary School,-,Yes,-,24,1,2,1,"Chapel, Music Rm, Computer Rm, General Study Rm, Visual Arts Rm, Library, English Wonderland, Multifunction Area, SGP's Rm, Medical Rm and Activity Rms.","Ramp, Accessible lift and Accessible toilet.",48,48,100,94,27,57,19,27,54,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,3,No,No,8:10,AM,3:10,PM,"1. Area of Concern 1 - ""Strengthening values education and showcasing arts capacity""<br>2. Area of Concern 2 - ""Catering for learner diversity and enriching learning experiences""<br>"
Central & Western,S.K.H. Kei Yan Primary School,11,0.86,2.06,2.06,13.74,,http://www.skhkyps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,4700,Chinese,-,-,-,Yes,-,18,1,1,1,"1 TV Campus, 1 Visual Arts room, 2 Music rooms, 1 Multi-purpose Activity room, 1 STEM room, 1 English Language room, 1 Remedial Teaching room.",,37,37,100,100,42,89,5,19,76,3,3,3,3,3,3,18,3,3,3,3,3,3,18,1,1,Yes,2,2,No,Yes,8:15,AM,3:15,PM,1. To foster proper values and attitudes in students<br>2. To cultivate types of literacy students need in the 21st century
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
